Date,Ticker,Open,High,Low,Close,Volume,Returns,Log_Returns
2023-01-13,SAB,75964.0,78752.0,75964.0,78541.0,218533,,0.0333612375824827
2023-01-16,SAB,79428.0,80231.0,78625.0,79639.0,105654,,0.0138831411784114
2023-01-17,SAB,79428.0,79639.0,77020.0,79006.0,88786,,-0.0079801236627898
2023-01-18,SAB,81118.0,81118.0,79006.0,79006.0,75333,,0.0
2023-01-19,SAB,80273.0,81541.0,78456.0,78456.0,201867,,-0.0069858408600837
2023-01-27,SAB,78499.0,82386.0,78499.0,81583.0,133901,,0.0390829488423053
2023-01-30,SAB,81583.0,81583.0,80062.0,80273.0,178084,,-0.0161875816240128
2023-01-31,SAB,79006.0,80611.0,78794.0,79851.0,55652,,-0.0052709272441805
2023-02-01,SAB,79851.0,80484.0,78837.0,79006.0,170831,,-0.0106385991140282
2023-02-02,SAB,80273.0,80907.0,78625.0,79217.0,88754,,0.0026671233016671
2023-02-03,SAB,78499.0,81456.0,78499.0,81456.0,105498,,0.02787207490821
2023-02-06,SAB,80484.0,82555.0,80315.0,82555.0,79187,,0.0134017407238156
2023-02-07,SAB,81118.0,83231.0,80780.0,80780.0,28984,,-0.021735327748529
2023-02-08,SAB,79851.0,83864.0,79851.0,83315.0,110180,,0.0308991948553199
2023-02-09,SAB,83357.0,84076.0,81118.0,81879.0,50063,,-0.0173860572667035
2023-02-10,SAB,82808.0,82808.0,79935.0,80020.0,70941,,-0.0229659442947942
2023-02-13,SAB,79851.0,81076.0,78752.0,81076.0,88082,,0.013110382946629
2023-02-14,SAB,81498.0,81498.0,79048.0,79428.0,51574,,-0.020536035450932
2023-02-15,SAB,79470.0,80907.0,79428.0,79851.0,77155,,0.0053114471393451
2023-02-16,SAB,79470.0,80484.0,79428.0,80146.0,27770,,0.0036875733206115
2023-02-17,SAB,80146.0,80273.0,78837.0,79048.0,45409,,-0.0137947084920809
2023-02-20,SAB,80696.0,81498.0,79639.0,80358.0,69972,,0.0164363887403783
2023-02-21,SAB,79259.0,80611.0,79259.0,80484.0,84600,,0.0015667552725603
2023-02-22,SAB,80696.0,80696.0,79006.0,79006.0,82202,,-0.0185346079554975
2023-02-23,SAB,79851.0,79893.0,78161.0,79048.0,78070,,0.0005314639425586
2023-02-24,SAB,79048.0,80104.0,78161.0,79851.0,98821,,0.0101071351714693
2023-02-27,SAB,80273.0,80273.0,78203.0,78287.0,57696,,-0.0197808369486265
2023-02-28,SAB,80273.0,80400.0,78372.0,79428.0,96998,,0.0144693898092815
2023-03-01,SAB,78583.0,81329.0,78414.0,81329.0,41440,,0.0236517055924218
2023-03-02,SAB,80098.0,80693.0,79461.0,79886.0,38337,,-0.0179020381214051
2023-03-03,SAB,80395.0,80395.0,78654.0,79419.0,92460,,-0.0058629840587977
2023-03-06,SAB,81500.0,81500.0,78569.0,78569.0,76418,,-0.0107604147344065
2023-03-07,SAB,78994.0,80268.0,78654.0,79376.0,122740,,0.0102188359560946
2023-03-08,SAB,78314.0,79206.0,78314.0,79206.0,97479,,-0.0021440020320155
2023-03-09,SAB,79206.0,79461.0,79164.0,79206.0,216789,,0.0
2023-03-10,SAB,78442.0,79461.0,78442.0,78824.0,266761,,-0.004834534506504
2023-03-13,SAB,79334.0,79419.0,78994.0,79419.0,353629,,0.0075201153168316
2023-03-14,SAB,79716.0,80693.0,79419.0,80693.0,261500,,0.0159141961605695
2023-03-15,SAB,80948.0,81330.0,80311.0,80480.0,233815,,-0.0026431241461454
2023-03-16,SAB,80650.0,83241.0,79419.0,81117.0,308163,,0.0078838505590629
2023-03-17,SAB,81117.0,81542.0,80353.0,81542.0,407112,,0.00522566801891
2023-03-20,SAB,80735.0,81627.0,79036.0,80268.0,42572,,-0.0157471890051308
2023-03-21,SAB,80268.0,80693.0,78951.0,78994.0,141737,,-0.0159991357086376
2023-03-22,SAB,78782.0,80226.0,77932.0,79631.0,181701,,0.0080315640559929
2023-03-23,SAB,79631.0,79928.0,78229.0,79843.0,86560,,0.0026587421759541
2023-03-24,SAB,78569.0,79928.0,78569.0,79758.0,130729,,-0.0010651563340637
2023-03-27,SAB,79036.0,79843.0,78824.0,78994.0,58488,,-0.0096251498978834
2023-03-28,SAB,78994.0,79206.0,78654.0,78994.0,59861,,0.0
2023-03-29,SAB,79334.0,79334.0,78187.0,78739.0,60107,,-0.0032333148060883
2023-03-30,SAB,79121.0,79121.0,78314.0,78569.0,70120,,-0.0021613658069469
2023-03-31,SAB,78569.0,78909.0,77932.0,78442.0,66534,,-0.0016177214041923
2023-04-03,SAB,78145.0,78357.0,76870.0,76870.0,94103,,-0.0202438148373655
2023-04-04,SAB,76955.0,77125.0,75511.0,75596.0,165102,,-0.0167123116282496
2023-04-05,SAB,75639.0,75639.0,74535.0,74959.0,167152,,-0.0084620743398479
2023-04-06,SAB,75809.0,75809.0,74959.0,75129.0,147454,,0.0022653386373317
2023-04-07,SAB,75172.0,75554.0,74789.0,75172.0,65541,,0.0005721851640796
2023-04-10,SAB,75426.0,75426.0,74747.0,75002.0,193779,,-0.0022640413469265
2023-04-11,SAB,74662.0,74832.0,74322.0,74322.0,131496,,-0.00910777504731
2023-04-12,SAB,73982.0,73982.0,72496.0,72623.0,336200,,-0.0231253287335741
2023-04-13,SAB,72836.0,73345.0,71562.0,71986.0,186647,,-0.0088100204017047
2023-04-14,SAB,71986.0,72199.0,70925.0,70925.0,276997,,-0.0148486749699238
2023-04-17,SAB,70755.0,70925.0,69651.0,69651.0,233121,,-0.0181259230703736
2023-04-18,SAB,69948.0,71349.0,69905.0,70415.0,180040,,0.0109092510254722
2023-04-19,SAB,71222.0,72623.0,70585.0,72369.0,329471,,0.0273717222522176
2023-04-20,SAB,72921.0,73643.0,72411.0,72411.0,246631,,0.0005801906503407
2023-04-21,SAB,73261.0,73303.0,72411.0,72411.0,170200,,0.0
2023-04-24,SAB,72411.0,72708.0,72411.0,72666.0,126828,,0.0035153782143963
2023-04-25,SAB,72666.0,72708.0,71774.0,72623.0,197810,,-0.0005919237004247
2023-04-26,SAB,72623.0,72836.0,72539.0,72623.0,177595,,0.0
2023-04-27,SAB,72623.0,73898.0,71986.0,73898.0,154852,,0.0174040879219277
2023-04-28,SAB,74025.0,74237.0,73048.0,73048.0,75525,,-0.0115690046744325
2023-05-04,SAB,73048.0,73048.0,70542.0,70755.0,108279,,-0.0318935539097042
2023-05-05,SAB,70840.0,71137.0,70203.0,70288.0,110357,,-0.0066221181709109
2023-05-08,SAB,70500.0,70840.0,70415.0,70712.0,68018,,0.0060142025252231
2023-05-09,SAB,70925.0,70925.0,70075.0,70118.0,79636,,-0.0084357526451892
2023-05-10,SAB,70118.0,70415.0,70118.0,70160.0,101416,,0.0005988109504698
2023-05-11,SAB,70203.0,71774.0,69651.0,69863.0,164530,,-0.0042421665783521
2023-05-12,SAB,70245.0,70373.0,69183.0,69608.0,149936,,-0.0036566782218521
2023-05-15,SAB,69948.0,70330.0,69651.0,69693.0,119316,,0.001220379043214
2023-05-16,SAB,70075.0,70075.0,69141.0,69226.0,73688,,-0.0067233677060008
2023-05-17,SAB,69226.0,69226.0,68844.0,69014.0,103382,,-0.0030671320340797
2023-05-18,SAB,69014.0,69226.0,68631.0,68929.0,180313,,-0.0012323932458785
2023-05-19,SAB,68929.0,68929.0,67994.0,68249.0,76255,,-0.009914207377903
2023-05-22,SAB,68249.0,68716.0,68037.0,68249.0,66710,,0.0
2023-05-23,SAB,68589.0,68716.0,67187.0,67527.0,145123,,-0.0106352640432642
2023-05-24,SAB,67782.0,67909.0,67315.0,67315.0,116581,,-0.0031444234686129
2023-05-25,SAB,67315.0,67442.0,66253.0,67102.0,98068,,-0.0031692446384452
2023-05-26,SAB,67102.0,67102.0,65828.0,66041.0,71131,,-0.0159380885174926
2023-05-29,SAB,66083.0,66848.0,65913.0,65956.0,91386,,-0.0012879082365383
2023-05-30,SAB,65998.0,66380.0,65956.0,66253.0,145827,,0.0044928938212326
2023-05-31,SAB,66253.0,67315.0,66253.0,67102.0,158142,,0.0127331029327982
2023-06-01,SAB,66423.0,67527.0,66423.0,67187.0,126346,,0.0012659266410731
2023-06-02,SAB,67739.0,67739.0,66933.0,67102.0,138837,,-0.0012659266410731
2023-06-05,SAB,67952.0,68079.0,67570.0,67697.0,113557,,0.0088280159973866
2023-06-06,SAB,67909.0,67994.0,67654.0,67952.0,126962,,0.0037597077807759
2023-06-07,SAB,67994.0,68079.0,67782.0,67867.0,205261,,-0.0012516659833636
2023-06-08,SAB,68037.0,68037.0,67739.0,67867.0,158445,,0.0
2023-06-09,SAB,68382.0,68382.0,67739.0,67739.0,27596,,-0.0018878226334329
2023-06-12,SAB,67782.0,69540.0,67782.0,69454.0,109454,,0.0250025779800515
2023-06-13,SAB,69497.0,69540.0,68854.0,69368.0,84729,,-0.001238996859311
2023-06-14,SAB,69368.0,70097.0,68854.0,69454.0,203504,,0.001238996859311
2023-06-15,SAB,69797.0,69797.0,68168.0,68168.0,108826,,-0.0186894164085156
2023-06-16,SAB,69025.0,69025.0,66453.0,66453.0,235092,,-0.025480315658621
2023-06-19,SAB,67310.0,67310.0,66839.0,67225.0,129833,,0.0115502712878945
2023-06-20,SAB,67225.0,67225.0,66539.0,66582.0,98003,,-0.0096109314084467
2023-06-21,SAB,66582.0,66796.0,66196.0,66453.0,136951,,-0.0019393398794477
2023-06-22,SAB,66882.0,66882.0,66367.0,66367.0,146129,,-0.0012949858758984
2023-06-23,SAB,66367.0,67096.0,66196.0,67096.0,198714,,0.0109244846909751
2023-06-26,SAB,67696.0,67696.0,66882.0,66882.0,140069,,-0.003194557046569
2023-06-27,SAB,66710.0,67310.0,66196.0,66196.0,194770,,-0.0103098344788445
2023-06-28,SAB,66624.0,66624.0,66281.0,66324.0,84963,,0.0019317844824292
2023-06-29,SAB,66539.0,66539.0,66024.0,66024.0,179854,,-0.004533510348743
2023-06-30,SAB,66196.0,66196.0,65810.0,65853.0,152764,,-0.0025933270522708
2023-07-03,SAB,66024.0,66367.0,65810.0,65896.0,78380,,0.0006527564008352
2023-07-04,SAB,65896.0,66153.0,65767.0,65853.0,99059,,-0.0006527564008353
2023-07-05,SAB,65938.0,66367.0,65853.0,65938.0,80027,,0.0012899213419115
2023-07-06,SAB,65938.0,66024.0,65767.0,65767.0,91589,,-0.0025967138086881
2023-07-07,SAB,65853.0,66196.0,64695.0,64738.0,203825,,-0.015769837552407
2023-07-10,SAB,64781.0,64867.0,64309.0,64438.0,198740,,-0.0046448340150164
